,attraction_name,category,rating,reviews,categories,address,city
127,T. & P. Hill,Park,4.6,907,"Park, Tourist attraction","T. & P. Hill, White Rock Creek & Lake Trails, Dallas, TX 75214",Dallas
128,Lakeside Park,City park,4.7,890,"City park, Park, Tourist attraction","Lakeside Park, 4601 Lakeside Dr, Dallas, TX 75205",Dallas
129,Crow Museum of Asian Art of The University of Texas at Dallas,Art museum,4.6,711,"Art museum, Museum, Tourist attraction","Crow Museum of Asian Art of The University of Texas at Dallas, 2010 Flora St, Dallas, TX 75201",Dallas
130,Old Red Museum of Dallas County History & Culture,Museum,4.3,601,"Museum, Historical place, Historical landmark, History museum, Tourist attraction, Wedding venue","Old Red Museum of Dallas County History & Culture, 100 S Houston St, Dallas, TX 75202",Dallas
131,The Grassy Knoll,Historical landmark,4.6,597,"Historical landmark, Tourist attraction","The Grassy Knoll, 411 Elm St, Dallas, TX 75202",Dallas
132,Trinity Overlook Park,Park,4.5,563,"Park, Tourist attraction","Trinity Overlook Park, 110 W Commerce St, Dallas, TX 75205",Dallas
133,Meadows Museum,Art museum,4.7,511,"Art museum, Tourist attraction","Meadows Museum, 5900 Bishop Blvd, Dallas, TX 75205",Dallas
134,Griggs Park,Park,4.6,478,"Park, Tourist attraction","Griggs Park, 2200 Hugo St, Dallas, TX 75204",Dallas
135,Teddy Bear Statues in Lakeside Park,Park,4.7,424,"Park, Tourist attraction","Teddy Bear Statues in Lakeside Park, 4585-4657 Lakeside Dr, Dallas, TX 75205",Dallas
136,The Ann & Gabriel Barbier-Mueller Museum: The Samurai Collection,Museum,4.8,417,"Museum, Exhibit, Tourist attraction","The Ann & Gabriel Barbier-Mueller Museum: The Samurai Collection, 2501 N Harwood St Suite 225, Dallas, TX 75201",Dallas
137,Dallas Contemporary,Art museum,4.7,351,"Art museum, Museum, Tourist attraction","Dallas Contemporary, 161 Glass St, Dallas, TX 75207",Dallas
138,Leonhardt Lagoon Nature Walk,Tourist attraction,4.5,232,Tourist attraction,"Leonhardt Lagoon Nature Walk, 1121 1st Ave, Dallas, TX 75210",Dallas
139,Flippen Park,City park,4.7,226,"City park, Tourist attraction","Flippen Park, 4421 N Versailles Ave, Dallas, TX 75205",Dallas
140,Dallas DeGolyer Estate,Botanical garden,4.7,212,"Botanical garden, Lodging, Tourist attraction","Dallas DeGolyer Estate, 8625 Garland Rd, Dallas, TX 75218",Dallas
141,Sweet Tooth Hotel,Tourist attraction,4.5,157,Tourist attraction,"Sweet Tooth Hotel, 1511 Elm St #100, Dallas, TX 75201",Dallas
142,Ferris Plaza,Park,4.3,92,"Park, Tourist attraction","Ferris Plaza, 400 S Houston St, Dallas, TX 75202",Dallas
143,Dallas by Chocolate/Dallas Bites & Sights Food Tours,Tour agency,4.2,75,"Tour agency, Restaurant, Sightseeing tour agency","Dallas by Chocolate/Dallas Bites & Sights Food Tours, 4925 Greenville Ave Suite 255, Dallas, TX 75206",Dallas
144,The Globe,Sculpture,4.7,47,"Sculpture, Tourist attraction","The Globe, 208 S Akard St Section C, Dallas, TX 75202",Dallas
145,Celebration of Life Park,Park,4.2,47,"Park, Tourist attraction","Celebration of Life Park, 600 N Pearl St, Dallas, TX 75201",Dallas
146,John Neely Bryan Cabin,Historical landmark,4.5,42,"Historical landmark, Tourist attraction","John Neely Bryan Cabin, 600 Elm St, Dallas, TX 75202",Dallas
147,Exposition Plaza,Park,4.6,29,"Park, Tourist attraction","Exposition Plaza, 269 Exposition Ave, Dallas, TX 75226",Dallas
148,Spirit of Communication,Sculpture,4.9,29,"Sculpture, Tourist attraction","Spirit of Communication, 311 S Akard St, Dallas, TX 75202",Dallas
149,VisitDallas Mural,Tourist attraction,3.8,20,Tourist attraction,"VisitDallas Mural, 2914 Commerce St, Dallas, TX 75226",Dallas
150,Dallas Bowler Hat,Historical landmark,4.2,15,"Historical landmark, Tourist attraction","Dallas Bowler Hat, 1516 Griffin St W, Dallas, TX 75215",Dallas
151,Oak Lawn Park,Park,4.8,13,Park,"Oak Lawn Park, 3333 Turtle Creek Blvd, Dallas, TX 75219",Dallas
152,JFK Discovery Tour,Tourist attraction,4.8,12,Tourist attraction,"JFK Discovery Tour, 706 Main St Suite #10, Dallas, TX 75202",Dallas
153,Native Texas Park,Park,4.8,11,"Park, Tourist attraction","Native Texas Park, 2943 SMU Boulevard, Dallas, TX 75205",Dallas
154,Fair Park Visitor Center,Tourist attraction,3.8,8,Tourist attraction,"Fair Park Visitor Center, 3535 Grand Ave, Dallas, TX 75210",Dallas
155,Dallas Zoo Carousel,Tourist attraction,5,7,Tourist attraction,"Dallas Zoo Carousel, E R L Thornton Fwy, Dallas, TX 75203",Dallas
156,Dallas Architecture Tours,Sightseeing tour agency,5,1,"Sightseeing tour agency, Artist, Tour agency, Tour operator, Tourist attraction","Dallas Architecture Tours, 1509 Main St Suite #709, Dallas, TX 75201",Dallas
157,Dealey Plaza,Park,4.6,5379,"Park, Tourist attraction","Dealey Plaza, Dallas, TX 75202",Dallas
158,Lubben Plaza,Park,4.3,54,"Park, Tourist attraction","Lubben Plaza, 701 Young St, Dallas, TX 75202",Dallas
159,Lot 64 Murals,Tourist attraction,4.9,15,Tourist attraction,"Lot 64 Murals, 2629 Commerce St, Dallas, TX 75226",Dallas
160,Stone Street Gardens,Park,3.9,9,Park,"Stone Street Gardens, 1520 Elm St, Dallas, TX 75201",Dallas
161,Public Sculpture Garden and Park,Park,3.9,8,Park,"Public Sculpture Garden and Park, 1700 N Akard St, Dallas, TX 75201",Dallas
162,I love Dallas Mural,Tourist attraction,4.6,8,Tourist attraction,"I love Dallas Mural, 174 Howell St, Dallas, TX 75207",Dallas
163,Dallas zoo,Tourist attraction,5,5,Tourist attraction,"Dallas zoo, 405 S Ewing Ave, Dallas, TX 75203",Dallas
164,Victory park mural,Tourist attraction,4,4,Tourist attraction,"Victory park mural, Nowitzki Way &, Victory Park Ln, Dallas, TX 75219",Dallas
165,Skyfall Park,Tourist attraction,5,3,Tourist attraction,"Skyfall Park, 1179 N Riverfront Blvd, Dallas, TX 75207",Dallas
166,Tree of Tenere,Tourist attraction,5,1,Tourist attraction,"Tree of Tenere, 2500 Pacific Ave, Dallas, TX 75226",Dallas
167,Doseqe theather,Tourist attraction,,,Tourist attraction,"Doseqe theather, 1914 Commerce St, Dallas, TX 75201",Dallas
168,Genesis Mosaic,Tourist attraction,,,Tourist attraction,"Genesis Mosaic, 1521 Main St, Dallas, TX 75201",Dallas
169,Dallas Downtown Historic District,,,,,"Dallas Downtown Historic District, Dallas, TX",Dallas
170,Vermilionville Historic Village,Historical place museum,4.7,1234,"Historical place museum, Dance hall, Event venue, Gift shop, Historical place, Live music venue, Museum, Restaurant, Tourist attraction, Wedding venue","Vermilionville Historic Village, 300 Fisher Rd, Lafayette, LA 70508",Lafayette
171,LARC's Acadian Village,Cultural center,4.5,1134,"Cultural center, Event venue, Gift shop, Museum, Non-profit organization, Tourist attraction, Wedding venue","LARC's Acadian Village, 200 Greenleaf Dr, Lafayette, LA 70506",Lafayette
172,Sky Zone Trampoline Park,Amusement center,4.4,1062,"Amusement center, Sports complex, Theme park, Tourist attraction","Sky Zone Trampoline Park, 3814 Ambassador Caffery Pkwy, Lafayette, LA 70503",Lafayette
173,Cathedral of St. John the Evangelist,Catholic cathedral,4.8,499,"Catholic cathedral, Cathedral, Tourist attraction","Cathedral of St. John the Evangelist, 515 Cathedral St, Lafayette, LA 70501",Lafayette
174,Children's Museum of Acadiana,Children's museum,4.6,320,"Children's museum, Education center, Tourist attraction","Children's Museum of Acadiana, 201 E Congress St, Lafayette, LA 70501",Lafayette
175,Graham Brown Memorial Park,Park,4.5,280,"Park, Tourist attraction","Brown Memorial Park, 1234 E Pont Des Mouton Rd, Lafayette, LA 70507",Lafayette
176,Acadiana Park Nature Station,Nature preserve,4.7,245,"Nature preserve, Arboretum, Hiking area, Museum, Tourist attraction","Acadiana Park Nature Station, 1205 E Alexander St, Lafayette, LA 70501",Lafayette
177,Neyland Park,Park,4.4,216,"Park, Tourist attraction","Neyland Park, 1919 Eraste Landry Rd, Lafayette, LA 70506",Lafayette
178,Lafayette Visitors Center,Visitor center,4.7,198,Visitor center,"Lafayette Visitors Center, 1400 NW Evangeline Thruway, Lafayette, LA 70501",Lafayette
179,Lafayette Science Museum,Science museum,4.4,183,"Science museum, Education center, Museum, Tourist attraction","Lafayette Science Museum, 433 Jefferson St, Lafayette, LA 70501",Lafayette
180,Acadian Cultural Center,Cultural center,4.7,173,"Cultural center, Tourist attraction","Acadian Cultural Center, 501 Fisher Rd, Lafayette, LA 70508",Lafayette
