,attraction_name,category,rating,reviews,categories,address,city
6440,dg.arbreetjardin,Landscaper,4.9,18,"Landscaper, Forestry service, Gardener, Height works, Historical landmark, Janitorial service, Lawn care service, Park, Tree service","dg.arbreetjardin, La Roueille, 87230 Champsac, France",Chalus
6441,Camping Municipal,Campground,4,16,Campground,"Camping Municipal, 87230 Flavignac, France",Chalus
6442,mrdb wrbn,Tourist attraction,4.7,15,Tourist attraction,"Sinava Cheshme, chlws, stn mzndrn,, J93J+H5R mrdb wrbn, Iran",Chalus
6443,Nojan Waterfall,Tourist attraction,3.9,11,Tourist attraction,"Kelarak, stn thrn, jdh chlws,, 76CW+C7H Nojan Waterfall, Iran",Chalus
6444,Ferme de masnaud,Camping farm,4.8,9,"Camping farm, Campground, Chalet, Restaurant, RV park","Ferme de masnaud, Masnaud, 87230 Dournazac, France",Chalus
6445,Le Carillon de Forcalquier,Tourist attraction,4.3,9,Tourist attraction,"Le Carillon de Forcalquier, 04300 Forcalquier, France",Chalus
6446,dry,Tourist attraction,4.8,8,Tourist attraction,"chlws, rdyw dry, khT 8,, dry, Iran",Chalus
6447,mydn HfZ,Tourist attraction,3.6,7,Tourist attraction,"Alborz Province, Karaj, btdy jdh khmrbndy, Chalus Rd, R246+FC5 mydn HfZ, Iran",Chalus
6448,bm chlws,Tourist attraction,4,5,Tourist attraction,"bm chlws, JCP9+WH chlws,, Chalus, stn mzndrn,, Iran",Chalus
6449,abshr yl,Tourist attraction,4.7,3,Tourist attraction,"abshr yl, 76GV+7Q, Kelarak, Mazandaran Province, Iran",Chalus
6450,Tejak,Tourist attraction,5,2,Tourist attraction,"Tejak, J9QV+955, Chalus, Iran",Chalus
6451,hryjn,Tourist attraction,5,2,Tourist attraction,"Chalus Rd, hryjn, Iran",Chalus
6452,prkh rwdkhnh,Tourist attraction,3,2,Tourist attraction,"Mazandaran Province, Chalus, Emam Khomeini St, MC39+3XJ prkh rwdkhnh, Iran",Chalus
6453,"Statue ""le pelerin de Compostelle""",Tourist attraction,5,1,Tourist attraction,"Statue ""le pelerin de Compostelle"", Rue du Marche, 87230 Chalus, France",Chalus
6454,bstr rwdkhnh chlws,Tourist attraction,5,1,Tourist attraction,"Mazandaran Province, Chalus Rd, 9736+CHW bstr rwdkhnh chlws, Iran",Chalus
6455,Chalus,,,,,"63340 Chalus, France",Chalus
6456,Chalus,,,,,"Chalus, Iran",Chalus
6457,Chalus,,,,,"87230 Chalus, France",Chalus
6458,yrn,Tourist attraction,,,Tourist attraction,"yrn, MC3C+WG6, Chalus, Mazandaran Province, Iran",Chalus
6459,Randonee point quantique,Hiking area,,,Hiking area,"Randonee point quantique, Archambaud, 87230 Chalus, France",Chalus
6460,Chalusset,,,,,"Chalusset, 63210 Heume-l'Eglise, France",Chalus
6461,Sentier musical,Hiking area,,,Hiking area,"Sentier musical, 87230 Pageas, France",Chalus
6462,tb mrdb,Tourist attraction,,,Tourist attraction,"tb mrdb, J96C+VCV, Chalus, Mazandaran Province, Iran",Chalus
6463,Chalos beach,Tourist attraction,,,Tourist attraction,"Chalos beach, MCJP+Q77, Chalus, Iran",Chalus
6464,khmrbndy dwm,Tourist attraction,,,Tourist attraction,"khmrbndy dwm, MC2Q+237, Chalus, Mazandaran Province, Iran",Chalus
6465,SA,Tourist attraction,,,Tourist attraction,"Chalus Rd, SA, Iran",Chalus
6466,shh chshmh,Tourist attraction,,,Tourist attraction,"Mazandaran Province, shh chshmh, Chalus Rd, J93M+QX7 shh chshmh, Iran",Chalus
6467,khlbh prs w prsyn,Tourist attraction,,,Tourist attraction,"khlbh prs w prsyn, J9CJ+FXM, Chalus, Iran",Chalus
6468,khwy bhr,Tourist attraction,,,Tourist attraction,"khwy bhr, JCQR+7C5, Chalus, Mazandaran Province, Iran",Chalus
6469,sHl ydgr shhdy hyp hp,Tourist attraction,,,Tourist attraction,"sHl ydgr shhdy hyp hp, MCP6+FWH, Chalus, Mazandaran Province, Iran",Chalus
6470,rwsty mzwpshth,Tourist attraction,,,Tourist attraction,"rwsty mzwpshth, J9VW+5Q9, Chalus, Mazandaran Province, Iran",Chalus
6471,abshrmwrwd,Tourist attraction,,,Tourist attraction,"Mowrud, Alborz Province, stn lbrz-khylwmtr35jdh khrj, Chalus Rd, abshrmwrwd, dkhl Sd w sym, Iran",Chalus
6472,khylynykh yqywb yqwb sm`yl zdh,Tourist attraction,,,Tourist attraction,"khylynykh yqywb yqwb sm`yl zdh, MC26+4R4, Chalus, Mazandaran Province, Iran",Chalus
6473,tfrj gh Tby`y khbr shwshtry,Tourist attraction,,,Tourist attraction,"tfrj gh Tby`y khbr shwshtry, JCP2+VV, Chalus, Mazandaran Province, Iran",Chalus
6474,Ghasr Shirin Ecolodge,Lodge,4.4,44,Lodge,"Ghasr Shirin Ecolodge, 59W5+47Q, Garmsar, Semnan Province, Iran",Garmsar
