,attraction_name,link,category,categories,rating,reviews,address,city
160,Alexander point,https://www.google.com/maps/place/Alexander+point/data=!4m7!3m6!1s0x3be7e580d1f48ee5:0x821eff9516a51f1d!8m2!3d18.9765723!4d73.2723512!16s%2Fg%2F11n70ln0f2!19sChIJ5Y700YDl5zsRHR-lFpX_HoI?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.6,152,"Alexander point, Alexander Point, Alexander Point Trail, Matheran, Maharashtra 410102, India",Matheran
161,Pisarnath Mahadev Mandir,https://www.google.com/maps/place/Pisarnath+Mahadev+Mandir/data=!4m7!3m6!1s0x3be7e55920824569:0xc8ab4c3688bd5030!8m2!3d18.9798782!4d73.2610846!16s%2Fm%2F0jkyw9b!19sChIJaUWCIFnl5zsRMFC9iDZMq8g?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Tourist attraction",4.6,133,"X7H6+XC4 Pisarnath Mahadev Mandir, Matheran, Maharashtra 410206, India",Matheran
162,Charlotte Lakes Overwater,https://www.google.com/maps/place/Charlotte+Lakes+Overwater/data=!4m7!3m6!1s0x3be7e558f8330a3f:0xa4a03cd850381b05!8m2!3d18.9808553!4d73.2616197!16s%2Fg%2F11c0rtzrl0!19sChIJPwoz-Fjl5zsRBRs4UNg8oKQ?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.5,119,"X7J6+8JX Charlotte Lakes Overwater, Charlotte Lake,, Matheran, Maharashtra 410102, India",Matheran
163,Porcupine point,https://www.google.com/maps/place/Porcupine+point/data=!4m7!3m6!1s0x3be7efe8e886e1bb:0x37b3962718c43fbf!8m2!3d19.0019747!4d73.2622684!16s%2Fm%2F0k5yj3z!19sChIJu-GG6Ojv5zsRvz_EGCeWszc?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.6,93,"2726+QWJ Porcupine point, Matheran, Dhodani, Maharashtra 410206, India",Matheran
164,JUMAPATTI PICNIC POINT SNURSS GROUP,https://www.google.com/maps/place/JUMAPATTI+PICNIC+POINT+SNURSS+GROUP/data=!4m7!3m6!1s0x3be7f129b852ef9b:0x699113abb47ab670!8m2!3d19.0026292!4d73.2998725!16s%2Fg%2F11hdf8xqcy!19sChIJm-9SuCnx5zsRcLZ6tKsTkWk?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.4,92,"273X+3W5 JUMAPATTI PICNIC POINT SNURSS GROUP, Neral - Matheran Rd, Maharashtra 410101, India",Matheran
165,King George Point,https://www.google.com/maps/place/King+George+Point/data=!4m7!3m6!1s0x3be7eff63743db27:0xa00319dc97c13649!8m2!3d18.9841824!4d73.2611221!16s%2Fg%2F11r9ny56l!19sChIJJ9tDN_bv5zsRSTbBl9wZA6A?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.5,89,"X7M6+MCH King George Point, Matheran, Maharashtra 410206, India",Matheran
166,Chhatrapati Shivaji Maharaj's Ladder,https://www.google.com/maps/place/Chhatrapati+Shivaji+Maharaj%27s+Ladder/data=!4m7!3m6!1s0x3be7e547b6d93545:0xe5cf995b3a45546c!8m2!3d18.9784672!4d73.2622125!16s%2Fm%2F0k5yj51!19sChIJRTXZtkfl5zsRbFRFOluZz-U?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.2,84,"X7H6+9VP Chhatrapati Shivaji Maharaj's Ladder, Matheran, Maharashtra 410102, India",Matheran
167,Mount Barry,https://www.google.com/maps/place/Mount+Barry/data=!4m7!3m6!1s0x3be7f0182ea785fb:0x6f847ca857475f49!8m2!3d19.006011!4d73.2879066!16s%2Fg%2F1hf2j5jh_!19sChIJ-4WnLhjw5zsRSV9HV6h8hG8?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.2,78,"274Q+C53 Mount Barry, Neral - Matheran Rd, Sondewadi, Matheran, Maharashtra 410102, India",Matheran
168,Celia Point,https://www.google.com/maps/place/Celia+Point/data=!4m7!3m6!1s0x3be7e55884c45a57:0xa5cc12f7fb113565!8m2!3d18.9815367!4d73.2609303!16s%2Fg%2F11r8dx0_k!19sChIJV1rEhFjl5zsRZTUR-_cSzKU?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.3,77,"X7J6+J97 Celia Point, Matheran, Maharashtra 410206, India",Matheran
169,Malet Spring Matheran,https://www.google.com/maps/place/Malet+Spring+Matheran/data=!4m7!3m6!1s0x3be7efefe0d2c3fd:0x1ae6b13cdd4e055b!8m2!3d18.9951059!4d73.2634127!16s%2Fg%2F11r8vr58z!19sChIJ_cPS4O_v5zsRWwVO3Tyx5ho?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.4,67,"X7W7+29V Malet Spring Matheran, Matheran, Maldunge, Maharashtra 410102, India",Matheran
170,Edward Point Matheran,https://www.google.com/maps/place/Edward+Point+Matheran/data=!4m7!3m6!1s0x3be7eff657769ab3:0xe9ae65f4850b4aa2!8m2!3d18.9857118!4d73.2611221!16s%2Fg%2F1hf4hbdc6!19sChIJs5p2V_bv5zsRokoLhfRlruk?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.3,54,"X7P6+7CQ Edward Point Matheran, Matheran, Maharashtra 410102, India",Matheran
171,Matheran entry gate,https://www.google.com/maps/place/Matheran+entry+gate/data=!4m7!3m6!1s0x3be7f127fbefb775:0xe7670f3608decc4f!8m2!3d19.0030189!4d73.285493!16s%2Fg%2F11js63fglq!19sChIJdbfv-yfx5zsRT8zeCDYPZ-c?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.5,51,"273P+655 Matheran entry gate, Matheran, Maharashtra 410102, India",Matheran
172,Honeymoon Point,https://www.google.com/maps/place/Honeymoon+Point/data=!4m7!3m6!1s0x3be7efb9436778f9:0x7212952a44bd2509!8m2!3d18.9876292!4d73.2617296!16s%2Fg%2F11gmyhq44l!19sChIJ-XhnQ7nv5zsRCSW9RCqVEnI?authuser=0&hl=en&rclk=1,Scenic spot,Scenic spot,3.9,49,"X7Q6+3M5 Honeymoon Point, Matheran, Maharashtra 410102, India",Matheran
173,Panditji waterfall,https://www.google.com/maps/place/Panditji+waterfall/data=!4m7!3m6!1s0x3be7f1bc5d4cdf6b:0x12b3400dd9f4d782!8m2!3d19.0033086!4d73.2980695!16s%2Fg%2F11rsvh4chq!19sChIJa99MXbzx5zsRgtf02Q1AsxI?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.5,46,"273X+86G Panditji waterfall, Neral - Matheran Rd, Maharashtra 410101, India",Matheran
174,Neral-Matheran Ghat Road,https://www.google.com/maps/place/Neral-Matheran+Ghat+Road/data=!4m7!3m6!1s0x3be7f13636b49c69:0xc5c959c524d8e5b!8m2!3d19.0058112!4d73.2891519!16s%2Fg%2F11rqx19btk!19sChIJaZy0Njbx5zsRW45NUpyVXAw?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.7,45,"274Q+8MC Neral-Matheran Ghat Road, Neral - Matheran Rd, Matheran, Maharashtra 410101, India",Matheran
175,Big Stone Point (DarkGreen Adventures),https://www.google.com/maps/place/Big+Stone+Point+%28DarkGreen+Adventures%29/data=!4m7!3m6!1s0x3be7f196fd88c443:0xbdac85875c9c32bb!8m2!3d18.9998929!4d73.2777129!16s%2Fg%2F11sgvd9b1s!19sChIJQ8SI_Zbx5zsRuzKcXIeFrL0?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.5,39,"X7XH+X6H Big Stone Point (DarkGreen Adventures), Matheran, Maharashtra 410102, India",Matheran
176,Myra Point,https://www.google.com/maps/place/Myra+Point/data=!4m7!3m6!1s0x3be7efcc8c8e6e41:0xadb1992f11e6966!8m2!3d18.9958132!4d73.27606!16s%2Fg%2F11sghz3l7n!19sChIJQW6OjMzv5zsRZmke8ZIZ2wo?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.5,19,"X7WG+8CF Myra Point, Aman Lodge, Matheran, Maharashtra 410102, India",Matheran
177,Beatrice Cliff,https://www.google.com/maps/place/Beatrice+Cliff/data=!4m7!3m6!1s0x3be7f1c6bbb658e1:0xfaa9a872bedbd00b!8m2!3d18.9999458!4d73.2781095!16s%2Fg%2F11gj72mdnq!19sChIJ4Vi2u8bx5zsRC9DbvnKoqfo?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.8,13,"X7XH+X6H Beatrice Cliff, Matheran, Maharashtra 410102, India",Matheran
178,Dhodani waterfalls,https://www.google.com/maps/place/Dhodani+waterfalls/data=!4m7!3m6!1s0x3be7efb251627dd5:0x1d654ea404bd88c8!8m2!3d19.016059!4d73.2757572!16s%2Fg%2F11rgrsgs79!19sChIJ1X1iUbLv5zsRyIi9BKROZR0?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,11,"278G+C8C Dhodani waterfalls, Neral - Matheran Rd, Sondewadi, Maldunge, Maharashtra 410101, India",Matheran
179,Vetaleshwar waterfall,https://www.google.com/maps/place/Vetaleshwar+waterfall/data=!4m7!3m6!1s0x3be7f18177e280ab:0x7e43f1a566ed1638!8m2!3d19.0098302!4d73.2774581!16s%2Fg%2F11rrpj3vv5!19sChIJq4Did4Hx5zsROBbtZqXxQ34?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,9,"275G+WXP Vetaleshwar waterfall, Neral - Matheran Rd, Matheran, Maldunge, Maharashtra 410102, India",Matheran
180,RH point,https://www.google.com/maps/place/RH+point/data=!4m7!3m6!1s0x3be7f17b886bf00d:0xbd68d9e7ae6fb83e!8m2!3d19.0106857!4d73.2873223!16s%2Fg%2F11q3cktyz0!19sChIJDfBriHvx5zsRPrhvrufZaL0?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.8,4,"276P+7W RH point, Sondewadi, Maharashtra 410102, India",Matheran
181,Authentic Echo Point,https://www.google.com/maps/place/Authentic+Echo+Point/data=!4m7!3m6!1s0x3be7e5e8d94936d1:0xa7ef256a04d46b43!8m2!3d18.976797!4d73.271425!16s%2Fg%2F11k9k4gktq!19sChIJ0TZJ2ejl5zsRQ2vUBGol76c?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.7,3,"Authentic Echo Point, Vasudha adventure, Vasudha adventure matheran,wallace banglow, gowshala, near Alexander Point, near matheran, Matheran, Maharashtra 410102, India",Matheran
182,Chhatrapati Shivaji Maharaj Statue,https://www.google.com/maps/place/Chhatrapati+Shivaji+Maharaj+Statue/data=!4m7!3m6!1s0x3be7e5d595b3f36b:0x606cd4c0a7e9fce8!8m2!3d18.9780853!4d73.2669935!16s%2Fg%2F11pztfwlyq!19sChIJa_OzldXl5zsR6Pzpp8DUbGA?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.7,3,"X7H8+6QQ Chhatrapati Shivaji Maharaj Statue, Matheran, Maharashtra 410102, India",Matheran
183,Darkgreen Adventures Photo Point,https://www.google.com/maps/place/Darkgreen+Adventures+Photo+Point/data=!4m7!3m6!1s0x3be7efbe73c73e75:0xd0f01b5fa4c38680!8m2!3d18.9872941!4d73.2554673!16s%2Fg%2F11pvbc9s7z!19sChIJdT7Hc77v5zsRgIbDpF8b8NA?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,3,"X7P4+W58 Darkgreen Adventures Photo Point, Matheran, Maharashtra 410206, India",Matheran
184,Dhubi ( Sunset place),https://www.google.com/maps/place/Dhubi+%28+Sunset+place%29/data=!4m7!3m6!1s0x3be7ef8b22d9d1a9:0xe914c391bbd55f90!8m2!3d18.9948704!4d73.2510269!16s%2Fg%2F11t8p_qlrg!19sChIJqdHZIovv5zsRkF_Vu5HDFOk?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,3,"Dhubi ( Sunset place), Hashyachi Patti, Padaghe, Maharashtra 410206, India",Matheran
185,Matheran Plateau,https://www.google.com/maps/place/Matheran+Plateau/data=!4m7!3m6!1s0x3be7ef76d6c80bef:0x8ec0ccf6062d3143!8m2!3d18.9844254!4d73.2659665!16s%2Fg%2F11rr4qmt0g!19sChIJ7wvI1nbv5zsRQzEtBvbMwI4?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.5,2,"X7M8+Q9G Matheran Plateau, Echo Point Rd, Matheran, Maharashtra 410102, India",Matheran
186,Matheran,https://www.google.com/maps/place/Matheran/data=!4m7!3m6!1s0x3be7ef9cdb76df09:0x95957489d82c8e9b!8m2!3d18.9886587!4d73.271179!16s%2Fg%2F11kr8p41f2!19sChIJCd9225zv5zsRm44s2Il0lZU?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,1,"X7QC+FF7 Matheran, Maharashtra 410102, India",Matheran
187,Open ground,https://www.google.com/maps/place/Open+ground/data=!4m7!3m6!1s0x3be7f1a7682be729:0xfe3741c9e9d2f7ff!8m2!3d18.9952543!4d73.2856911!16s%2Fg%2F11trdhwg_l!19sChIJKecraKfx5zsR__fS6clBN_4?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,1,"X7WP+47 Open ground, Sondewadi, Matheran, Maharashtra 410102, India",Matheran
188,Old Chapel,https://www.google.com/maps/place/Old+Chapel/data=!4m7!3m6!1s0x3be7efd3f856e4e5:0xeb18f5c2ba4eb812!8m2!3d18.9883783!4d73.2677958!16s%2Fg%2F11fq249gz2!19sChIJ5eRW-NPv5zsRErhOusL1GOs?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4,1,"X7Q9+943 Old Chapel, pisarnath Market, Charlotte Lake Rd, Matheran, Maharashtra 410102, India",Matheran
189,Pisarnath Waterfall pisrnaath dhbdhbaa,https://www.google.com/maps/place/Pisarnath+Waterfall+%E0%A4%AA%E0%A4%BF%E0%A4%B8%E0%A4%B0%E0%A4%A8%E0%A4%BE%E0%A4%A5+%E0%A4%A7%E0%A4%AC%E0%A4%A7%E0%A4%AC%E0%A4%BE/data=!4m7!3m6!1s0x3be7e5778e896f87:0x4104cd94eef1b62a!8m2!3d18.9816847!4d73.2608428!16s%2Fg%2F11t5273d2_!19sChIJh2-Jjnfl5zsRKrbx7pTNBEE?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,1,"X7J6+M8G Pisarnath Waterfall pisrnaath dhbdhbaa, Matheran, Maharashtra 410206, India",Matheran
190,Lion's Point,https://www.google.com/maps/place/Lion%27s+Point/data=!4m7!3m6!1s0x3be7efba715a63e9:0xf094e2f75ed2c86a!8m2!3d18.9874605!4d73.255581!16s%2Fg%2F11vd3ql64b!19sChIJ6WNacbrv5zsRasjSXvfilPA?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,1,"X7P4+XF2 Lion's Point, Louisa Point, Matheran, Warose Tarf Wankhal, Maharashtra 410206, India",Matheran
191,Monkey point,https://www.google.com/maps/place/Monkey+point/data=!4m7!3m6!1s0x3be7ef30e9894ebd:0x6d1ef1cf21594c7a!8m2!3d18.9886587!4d73.271179!16s%2Fg%2F11y1d1tfnk!19sChIJvU6J6TDv5zsRekxZIc_xHm0?authuser=0&hl=en&rclk=1,Hiking area,Hiking area,,,"X7QC+FF7 Monkey point, Matheran, Maharashtra 410102, India",Matheran
192,Vadichi khal,https://www.google.com/maps/place/Vadichi+khal/data=!4m7!3m6!1s0x3be7ef9f794649d9:0x7dde3588a8abab60!8m2!3d18.9879561!4d73.2683698!16s%2Fg%2F11vcr29q0h!19sChIJ2UlGeZ_v5zsRYKurqIg13n0?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"X7Q9+58Q Vadichi khal, Matheran, Maharashtra 410102, India",Matheran
193,Sahastradhara Ropeway,https://www.google.com/maps/place/Sahastradhara+Ropeway/data=!4m7!3m6!1s0x3908d8235306401f:0x1a2fe714a1d22170!8m2!3d30.3852493!4d78.1310079!16s%2Fg%2F11bc95rklg!19sChIJH0AGUyPYCDkRcCHSoRTnLxo?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.2,6390,"Sahastradhara Ropeway, Rise Rope Laddre Pvt. Ltd, Shree Ganpati Sagar Hill, Dehradun, Uttarakhand 248002, India",Dehradun
194,Tapovan Temple,https://www.google.com/maps/place/Tapovan+Temple/data=!4m7!3m6!1s0x3909283d0c57a4c5:0xdbda336142c63fbd!8m2!3d30.3310899!4d78.0845525!16s%2Fg%2F1v2dzwy1!19sChIJxaRXDD0oCTkRvT_GQmEz2ts?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Tourist attraction",4.3,407,"Tapovan Temple, 9, Lane-2, Raipur, Dehradun, Khalanga, Uttarakhand 248008, India",Dehradun
195,Tapkeshwar Mahadev Mandir,https://www.google.com/maps/place/Tapkeshwar+Mahadev+Mandir/data=!4m7!3m6!1s0x3908d5e2fede5f15:0x17aaff219aca34e2!8m2!3d30.3574527!4d78.0167631!16s%2Fm%2F0k5wr7h!19sChIJFV_e_uLVCDkR4jTKmiH_qhc?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Place of worship, Tourist attraction",4.7,21020,"9248+XPJ Tapkeshwar Mahadev Mandir, Tapkeshwer Rd, Birpur, Dehradun, Uttarakhand 248001, India",Dehradun
196,Malsi Deer Park,https://www.google.com/maps/place/Malsi+Deer+Park/data=!4m7!3m6!1s0x3908d7a8b4fca143:0xaf3a6aa36d3264ba!8m2!3d30.3883325!4d78.0756051!16s%2Fg%2F1hm6f_vsz!19sChIJQ6H8tKjXCDkRumQybaNqOq8?authuser=0&hl=en&rclk=1,Park,"Park, Tourist attraction",4.1,11341,"93QG+86Q Malsi Deer Park, Diversion, Mussoorie Rd, Dehradun, Uttarakhand 248009, India",Dehradun
197,Dehradun Zoo,https://www.google.com/maps/place/Dehradun+Zoo/data=!4m7!3m6!1s0x3908d7a8f357c601:0xb897c477735c8cba!8m2!3d30.3901127!4d78.0743453!16s%2Fg%2F11c1rv24g9!19sChIJAcZX86jXCDkRuoxcc3fEl7g?authuser=0&hl=en&rclk=1,Zoo,"Zoo, Tourist attraction",4.1,5859,"Dehradun Zoo, Zoo, Malsi Deer Park, Dehradun, Uttarakhand 248009, India",Dehradun
198,Bhatta falls,https://www.google.com/maps/place/Bhatta+falls/data=!4m7!3m6!1s0x3908d7dc48aecbbb:0x2b196a82eafeb4d4!8m2!3d30.437358!4d78.073825!16s%2Fm%2F0k6hmjr!19sChIJu8uuSNzXCDkR1LT-6oJqGSs?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.3,5748,"C3QF+39F Bhatta falls, Bhatta Gaon, Mussoorie, Kyar Kuli Bhatta, Uttarakhand 248179, India",Dehradun
199,GUCCHUPANI ROBBERS CAVE,https://www.google.com/maps/place/GUCCHUPANI+ROBBERS+CAVE/data=!4m7!3m6!1s0x3908d75eb8be4f07:0xc25c085050729e14!8m2!3d30.3754146!4d78.059761!16s%2Fg%2F11t7_v372z!19sChIJB0--uF7XCDkRFJ5yUFAIXMI?authuser=0&hl=en&rclk=1,Tourist attraction,"Tourist attraction, Hiking area",4.4,5702,"93G5+5W6 GUCCHUPANI ROBBERS CAVE, Anarwala Rd, Garhi Cantt, Dehradun, Vijepur Gopiwala, Uttarakhand 248014, India",Dehradun
200,Jheel Clement Town,https://www.google.com/maps/place/Jheel+Clement+Town/data=!4m7!3m6!1s0x39092be607775da5:0xa871346d3c5ca45d!8m2!3d30.2679618!4d78.0086401!16s%2Fg%2F11dxd__gsk!19sChIJpV13B-YrCTkRXaRcPG00cag?authuser=0&hl=en&rclk=1,Nature preserve,"Nature preserve, Tourist attraction",4.3,1759,"Jheel Clement Town, Bharuwala Colony, Clement Town, Dehradun, Uttarakhand 248002, India",Dehradun
201,Waterfall Maldevta,https://www.google.com/maps/place/Waterfall+Maldevta/data=!4m7!3m6!1s0x390927b1b2c6909d:0x6e3ae5c7481f1075!8m2!3d30.3354345!4d78.1391001!16s%2Fg%2F11ffgz6fzm!19sChIJnZDGsrEnCTkRdRAfSMflOm4?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.3,1694,"Waterfall Maldevta, Asthal, Dwara, Uttarakhand 248008, India",Dehradun
202,Khalanga War Memorial,https://www.google.com/maps/place/Khalanga+War+Memorial/data=!4m7!3m6!1s0x390928050dd88c85:0xdc287b0a911c2331!8m2!3d30.3426432!4d78.0983735!16s%2Fg%2F11c4bj0j9m!19sChIJhYzYDQUoCTkRMSMckQp7KNw?authuser=0&hl=en&rclk=1,Historical landmark,"Historical landmark, Hiking area, Tourist attraction",4.5,1245,"Khalanga War Memorial, Raipur, Tibbanala Pani, Uttarakhand 248008, India",Dehradun
203,Chandrabani Temple,https://www.google.com/maps/place/Chandrabani+Temple/data=!4m7!3m6!1s0x39092bafebaf49df:0xbdd9a76716e1199c!8m2!3d30.2838822!4d77.9841048!16s%2Fg%2F124syq7b8!19sChIJ30mv668rCTkRnBnhFmen2b0?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Tourist attraction",4.4,776,"7XMM+HJ5 Chandrabani Temple, Chandrabani, Dehradun, Sewla Khurd, Uttarakhand 248171, India",Dehradun
204,Guchu pani,https://www.google.com/maps/place/Guchu+pani/data=!4m7!3m6!1s0x3908d7d247b38577:0x73945a01de282c06!8m2!3d30.3754976!4d78.059763!16s%2Fg%2F11ts39q871!19sChIJd4WzR9LXCDkRBiwo3gFalHM?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.4,514,"93G5+5WR Guchu pani, Malsi, Dehradun, Vijepur Gopiwala, Uttarakhand 248014, India",Dehradun
205,Shikhar fall,https://www.google.com/maps/place/Shikhar+fall/data=!4m7!3m6!1s0x3908d7478bf8fc37:0x9d47efc5442fc12f!8m2!3d30.4127017!4d78.0985025!16s%2Fg%2F11t15hc1zg!19sChIJN_z4i0fXCDkRL8EvRMXvR50?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.4,477,"C37X+3CJ Shikhar fall, Kairwaan Gaon, Dehradun, Uttarakhand 248009, India",Dehradun
206,Subir Raha Oil Museum,https://www.google.com/maps/place/Subir+Raha+Oil+Museum/data=!4m7!3m6!1s0x390929fb51c1ed31:0xcf6efe27a300481b!8m2!3d30.3373373!4d78.0305101!16s%2Fg%2F1v42d4z4!19sChIJMe3BUfspCTkRG0gAoyf-bs8?authuser=0&hl=en&rclk=1,Museum,"Museum, Tourist attraction",4.5,399,"Subir Raha Oil Museum, Krishna Nagar, Dehradun, Uttarakhand 248003, India",Dehradun
207,Dwara View Point,https://www.google.com/maps/place/Dwara+View+Point/data=!4m7!3m6!1s0x39092722bb4daa67:0x9d1b78dec6c4f632!8m2!3d30.3362124!4d78.1257001!16s%2Fg%2F11fwj9l23h!19sChIJZ6pNuyInCTkRMvbExt54G50?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.6,373,"84PG+F7P Dwara View Point, Unnamed Road, Dwara, Uttarakhand 248008, India",Dehradun
208,Hidden paradise,https://www.google.com/maps/place/Hidden+paradise/data=!4m7!3m6!1s0x3908d7900d77172d:0xa5f2a03939fed59f!8m2!3d30.38375!4d78.0655556!16s%2Fg%2F11q8g6lmm0!19sChIJLRd3DZDXCDkRn9X-OTmg8qU?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.2,232,"93M8+F6V Hidden paradise, Purukul Rd, Malsi, Dehradun, Uttarakhand 248014, India",Dehradun
209,Zonal Anthropological Museum,https://www.google.com/maps/place/Zonal+Anthropological+Museum/data=!4m7!3m6!1s0x3908d5f9411e0b45:0x707c20134e9b88d4!8m2!3d30.3465837!4d78.01265!16s%2Fg%2F11h0ng89w!19sChIJRQseQfnVCDkR1IibThMgfHA?authuser=0&hl=en&rclk=1,Museum,"Museum, Tourist attraction",4.1,123,"82W7+J3J Zonal Anthropological Museum, Pearson Rd, Forest Research Institute, ONGC, Dehradun, Uttarakhand 248003, India",Dehradun
210,Mussoorie diversion,https://www.google.com/maps/place/Mussoorie+diversion/data=!4m7!3m6!1s0x3908d73c029c3e75:0xb4a381ccda7843e0!8m2!3d30.3715437!4d78.0774425!16s%2Fg%2F11tmxbg7p5!19sChIJdT6cAjzXCDkR4EN42syBo7Q?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.3,57,"93CH+J5C Mussoorie diversion, Kishanpur, Dehradun, Uttarakhand 248195, India",Dehradun
211,Sura Devi Temple,https://www.google.com/maps/place/Sura+Devi+Temple/data=!4m7!3m6!1s0x3908d7996f573895:0x604f9e26942ab879!8m2!3d30.3867703!4d78.0839331!16s%2Fg%2F11f66c9bn8!19sChIJlThXb5nXCDkRebgqlCaeT2A?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.8,48,"93PM+PH3 Sura Devi Temple, Malsi, Dehradun, Uttarakhand 248009, India",Dehradun
212,MounTreks - Dil Hai Pahadi,https://www.google.com/maps/place/MounTreks+-+Dil+Hai+Pahadi/data=!4m7!3m6!1s0x3909299c94541c2f:0xc994b3ff21eebf75!8m2!3d30.306881!4d78.1031953!16s%2Fg%2F11qszcfzdn!19sChIJLxxUlJwpCTkRdb_uIf-zlMk?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4,40,"MounTreks - Dil Hai Pahadi, Abhishek Abraham Ram, Daksh Fash food corner, Ghar, Abhishek Abraham Ram, Raipur MAHARANA PRATAP colony Near MAHARANA PRATAP Sports College, Thano Rd, Raipur, Dehradun, Uttarakhand 248008, India",Dehradun
213,A Big SimbalTree,https://www.google.com/maps/place/A+Big+SimbalTree/data=!4m7!3m6!1s0x39092b4ff5b85369:0x65f973620fd9a29f!8m2!3d30.3250162!4d77.9980883!16s%2Fg%2F11g0h1chwc!19sChIJaVO49U8rCTkRn6LZD2Jz-WU?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4,22,"8XGX+264 A Big SimbalTree, Vasant Vihar Phase 2, Raj Vihar, Balliwala, Dehradun, Uttarakhand 248006, India",Dehradun
214,Dinesh Chowk,https://www.google.com/maps/place/Dinesh+Chowk/data=!4m7!3m6!1s0x39092b3a3d7a84f9:0xbf6784a83c2346c2!8m2!3d30.3327951!4d77.928491!16s%2Fg%2F11rt2g3fyv!19sChIJ-YR6PTorCTkRwkYjPKiEZ78?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,3.9,15,"8WMH+499 Dinesh Chowk, Umedpur Rd, Thakurpur, Dehradun, East Hopetown, Uttarakhand 248007, India",Dehradun
215,Kaali Ghati,https://www.google.com/maps/place/Kaali+Ghati/data=!4m7!3m6!1s0x3908d74db361d0fd:0xf3060cd969193e7c!8m2!3d30.3741722!4d78.0975449!16s%2Fg%2F11rw_mtfhc!19sChIJ_dBhs03XCDkRfD4ZadkMBvM?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.8,11,"93FX+M27 Kaali Ghati, Nagal Rd, Kulhan, Dehradun, Gujrara Mansingh, Uttarakhand 248001, India",Dehradun
216,Dehradun,https://www.google.com/maps/place/Dehradun/data=!4m7!3m6!1s0x39092943d32c16e1:0x4590bfe334b4d03b!8m2!3d30.3160129!4d78.0386216!16s%2Fg%2F11swpps6ml!19sChIJ4RYs00MpCTkRO9C0NOO_kEU?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.7,9,"828Q+CC5 Dehradun, Raja Rd, Prince Chowk, Dhamawala Mohalla, Paltan Bazaar, Dehradun, Uttarakhand 248001, India",Dehradun
