,attraction_name,link,category,categories,rating,reviews,address,city
3492,Natural view,https://www.google.com/maps/place/Natural+view/data=!4m7!3m6!1s0x3981a990b4440807:0x6ccef7af5f2a0834!8m2!3d23.1686791!4d80.0127736!16s%2Fg%2F11k40jjtpk!19sChIJBwhEtJCpgTkRNAgqX6_3zmw?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.7,3,"5296+JXG Natural view, Dumna Nature Reserve, Jabalpur, Madhya Pradesh 482005, India",Jabalpur
3493,Central Jail Lake,https://www.google.com/maps/place/Central+Jail+Lake/data=!4m7!3m6!1s0x3981af8e8bc1ce81:0xbad8a9ebc35534db!8m2!3d23.1703377!4d79.9571473!16s%2Fg%2F11rhq02gq5!19sChIJgc7Bi46vgTkR2zRVw-up2Lo?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.3,3,"5XC4+4VJ Central Jail Lake, Pond, Police Lines, South Civil Lines, Jabalpur, Madhya Pradesh 482001, India",Jabalpur
3494,Madan mahal pahadi,https://www.google.com/maps/place/Madan+mahal+pahadi/data=!4m7!3m6!1s0x3981b1caea1e7ca7:0xee01916e9c886c2f!8m2!3d23.1542452!4d79.9064159!16s%2Fg%2F11sc7f7_4b!19sChIJp3we6sqxgTkRL2yInG6RAe4?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,2.7,3,"Madan mahal pahadi, Sharda Chowk, Gurudev Colony, Jabalpur, Madhya Pradesh 482001, India",Jabalpur
3495,Walking track,https://www.google.com/maps/place/Walking+track/data=!4m7!3m6!1s0x3981af4c55b12015:0x383cdbebd2e1060a!8m2!3d23.1637908!4d79.9214547!16s%2Fg%2F11sq8vqn9k!19sChIJFSCxVUyvgTkRCgbh0uvbPDg?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.7,3,"5W7C+GH8 Walking track, Madan Mahal Railway Station Rd, Wright Town, Jabalpur, Madhya Pradesh 482002, India",Jabalpur
3496,Jabalpur view point,https://www.google.com/maps/place/Jabalpur+view+point/data=!4m7!3m6!1s0x3981b7f5a50b9c83:0x5e404acc35a55098!8m2!3d23.1140741!4d79.8731133!16s%2Fg%2F11sf9151_p!19sChIJg5wLpfW3gTkRmFClNcxKQF4?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4,3,"4V7F+J6H Jabalpur view point, Tilwara, Madhya Pradesh 482003, India",Jabalpur
3497,LOVER POINT,https://www.google.com/maps/place/LOVER+POINT/data=!4m7!3m6!1s0x3981a9ce3640e713:0x1986dd43e63651e1!8m2!3d23.16949!4d80.012698!16s%2Fg%2F11flrm9y7h!19sChIJE-dANs6pgTkR4VE25kPdhhk?authuser=0&hl=en&rclk=1,Park,Park,4.7,3,"5297+Q3W LOVER POINT, Dumna Nature Reserve, Jabalpur, Madhya Pradesh 482005, India",Jabalpur
3498,NEW BHEDAGHAT,https://www.google.com/maps/place/NEW+BHEDAGHAT/data=!4m7!3m6!1s0x3981af36c619217b:0x1283336139fcbd60!8m2!3d23.1814681!4d79.9864803!16s%2Fg%2F11t2vb1flf!19sChIJeyEZxjavgTkRYL38OWEzgxI?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.5,2,"5XJP+HHQ NEW BHEDAGHAT, Central Ordinance Depot Area, Jabalpur, Madhya Pradesh 482001, India",Jabalpur
3499,Pond view point,https://www.google.com/maps/place/Pond+view+point/data=!4m7!3m6!1s0x3981aff4313d13e3:0xeda957a823838b14!8m2!3d23.1701441!4d79.9563487!16s%2Fg%2F11rz2dxf_5!19sChIJ4xM9MfSvgTkRFIuDI6hXqe0?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,3.5,2,"5XC4+4G8 Pond view point, Police Lines, South Civil Lines, Jabalpur, Madhya Pradesh 482001, India",Jabalpur
3500,NATIONAL FLAG 1OO FT,https://www.google.com/maps/place/NATIONAL+FLAG+1OO+FT/data=!4m7!3m6!1s0x3981af2140c4fcef:0x9ee753bff7aa4320!8m2!3d23.1661497!4d79.9327695!16s%2Fg%2F11rgmyn9fl!19sChIJ7_zEQCGvgTkRIEOq979T554?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4,2,"5W8M+F42 NATIONAL FLAG 1OO FT, Awadhpuri, Marhatal, Jabalpur, Madhya Pradesh 482002, India",Jabalpur
3501,Imarti taal,https://www.google.com/maps/place/Imarti+taal/data=!4m7!3m6!1s0x3981b189117cf3cd:0x90da613da366dca1!8m2!3d23.1588198!4d79.8919927!16s%2Fg%2F11t0t4j4n6!19sChIJzfN8EYmxgTkRodxmoz1h2pA?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,3,2,"5V5R+GXH Imarti taal, MP SH 22, Subhash Nagar, Nav Nivesh Colony, Garha, Jabalpur, Madhya Pradesh 482003, India",Jabalpur
